,Force,Force,Force,Force,Force,Force,Force,Force,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area,Contact area,Contact area,Contact area,Contact area,Contact area,Contact area,Contact area,Change in force,Change in force,Change in force,Change in force,Change in force,Change in force,Change in force,Change in force
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Trial title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both feet jump,9502.0,49.016610826344824,32.324320294450786,5.0019748860182265,26.865451478173703,41.018454436334494,63.01344397763247,232.76587513310756,9502.0,43.38301629241331,17.391594768695096,6.591639871382638,30.195381882770874,42.17371163867979,54.236658523685996,97.92387543252593,9502.0,69.75367802483687,31.15425872663718,10.580623999999998,46.967648,66.32244800000001,87.999824,183.741568,9502.0,1.8697909760891998,3.651212590750101,0.0,0.19326507102009238,0.5732090050566738,1.7702432652085915,45.06709697219434
Left foot jump,11259.0,60.96871717806238,50.03922074216116,5.000827715668713,27.69511580905464,46.845747609380034,82.90399128159717,519.1147475613619,11259.0,47.61546824219068,18.45004922241053,8.979089790897909,34.4037385280249,45.598591549295776,60.89263141766365,99.43181818181819,11259.0,77.04708266808775,35.01178237093872,11.870944000000001,51.096672000000005,70.9676,100.64496,198.967344,11259.0,1.9472195535819652,5.220089414597994,0.0,0.19649836675443622,0.5727316614639858,1.6442747718678037,92.46586948458094
Quiet standing,144000.0,41.49016109385652,9.891085833554351,17.30916875598809,33.926891828786424,43.48304696126607,48.93167069445451,72.21036335599949,144000.0,56.772338752304954,16.43003369814875,22.245322245322246,45.31946508172362,59.163987138263664,66.54545454545453,88.06228373702422,144000.0,91.95953830277777,31.75969813707025,27.612848,68.38696,93.41916800000001,116.64492800000002,161.031936,144000.0,0.040157461716129904,0.05056132690300323,0.0,0.012186879014212382,0.025978800201430962,0.05139335868974003,1.8154089796827528
Right foot jump,10260.0,57.92052588586829,42.62925629650554,5.009584304606767,27.96485547858014,46.75115527327422,80.67396196606845,360.3862156717527,10260.0,45.691326380044735,18.39879107830464,2.0900321543408356,31.292517006802722,43.88052308301961,58.081705150976916,99.70282317979198,10260.0,72.77653809122808,31.75787312711137,3.354832,48.774096,69.67728,92.90304,188.902848,10260.0,1.7928672048035537,4.25697521170865,0.0,0.1844548746616007,0.574598392462546,1.6470660605493466,70.28470872361746
Sit-to-stand,3213.0,31.66681880702639,18.44240639546991,5.00134333810755,15.611238753123772,31.82579800373293,43.357422045453234,95.16885636096457,3213.0,31.430266309425765,15.298211950488147,5.653266331658291,20.24866785079929,26.727272727272727,41.03019538188277,77.45222929936305,3213.0,53.03669000684719,29.202780008005384,11.61288,31.483808000000003,44.128944000000004,70.709536,156.90291200000001,3213.0,0.6893920473632886,1.0114948357299418,0.0,0.1211632049921781,0.2900247666214324,0.7334421128274258,7.260340268874974
Sit-to-walk,1189.0,29.60313430623672,21.126637448535153,5.013426011097741,10.522929471616997,24.89498877452937,46.204239011040684,110.2301883597594,1189.0,27.02368825374009,12.597694183006238,7.412060301507538,16.851168511685117,23.484848484848488,36.173633440514465,56.54545454545454,1189.0,45.337438829268294,21.119597002407613,14.709648000000001,30.193488000000002,38.193472,61.93536,108.38688,1189.0,1.584461558933044,1.8042832422987292,0.0,0.241479787503788,0.9841937504912579,2.364565245514475,14.645753062072098
Twisting,28796.0,42.34667884540103,20.40300633887837,5.000971936744082,29.13466407871317,39.58160917882668,52.43060242963196,161.97886827113336,28796.0,44.33479393365784,15.108499310151275,3.697749196141479,33.87755102040817,43.45351043643264,54.652856001802284,95.69093610698366,28796.0,71.89382894124184,27.14053921768649,5.935472000000001,51.354736,71.225664,90.3224,166.193216,28796.0,0.5321805203179368,0.9185517585012237,0.0,0.14245240199401898,0.30026019311840496,0.6095362871294069,30.503979891577234
Wobble-board,96000.0,46.21503079603735,12.446203868247945,9.62815146118931,39.24823325552414,46.91948436552685,54.21641209797528,88.48993388283046,96000.0,64.42097506723698,18.37699459772163,12.266112266112266,51.12540192926045,68.9090909090909,79.22535211267606,95.5595026642984,96000.0,104.55996292266667,36.513899111726445,15.225776,83.87080000000002,106.32236800000001,129.54812800000002,186.06414400000003,96000.0,0.21533671801501722,0.22153100257410965,0.0,0.07557624751564881,0.14533413985200416,0.27526123849289846,4.084602445268347
